statusId|sensorName|[value-x,value-y,value-z]|timestamp
218|K6DS3TR Accelerometer|[0.15322891,-0.59256494,9.916783]|1566265861889
218|Samsung Linear Acceleration Sensor|[0.0019922405,-0.0076788664,0.12875938]|1566265861889
218|K6DS3TR Gyroscope|[0.01295034,-0.005351182,-0.011129965]|1566265861897
218|K6DS3TR Accelerometer|[0.20350714,-0.4417302,9.961076]|1566265861899
218|Samsung Linear Acceleration Sensor|[0.0033952892,-0.007359326,0.16609383]|1566265861898
218|K6DS3TR Gyroscope|[-4.8869476E-4,-0.020011948,-0.014795157]|1566265861906
218|K6DS3TR Accelerometer|[0.33638534,-0.4201824,9.896433]|1566265861908
218|Samsung Linear Acceleration Sensor|[0.0035505593,-0.0044253767,0.10425472]|1566265861908
218|K6DS3TR Gyroscope|[-0.0010995604,-0.0077946447,-0.019071212]|1566265861917
218|K6DS3TR Accelerometer|[0.25139117,-0.29328972,9.932345]|1566265861919
218|Samsung Linear Acceleration Sensor|[0.003371209,-0.0039337873,0.13310337]|1566265861919
218|K6DS3TR Gyroscope|[-0.0023212917,-4.6426058E-4,-0.019071212]|1566265861926
218|K6DS3TR Accelerometer|[0.22385786,-0.29927522,9.953894]|1566265861928
218|Samsung Linear Acceleration Sensor|[0.0033933967,-0.004648149,0.15415001]|1566265861928
218|K6DS3TR Gyroscope|[0.0050090924,-0.017568488,-0.02334727]|1566265861936
218|K6DS3TR Accelerometer|[0.415394,-0.62368953,9.929952]|1566265861939
218|Samsung Linear Acceleration Sensor|[0.0063188374,-0.009486854,0.15110683]|1566265861939
218|K6DS3TR Gyroscope|[0.0025656316,0.01480737,-0.02701246]|1566265861946
218|K6DS3TR Accelerometer|[0.062249243,-0.46088383,9.526528]|1566265861948
218|Samsung Linear Acceleration Sensor|[-0.0017502531,0.012986183,-0.2684574]|1566265861948
218|K6DS3TR Gyroscope|[0.027611107,-0.0016859919,-0.03617544]|1566265861956
218|K6DS3TR Accelerometer|[0.30166942,0.22744916,9.41879]|1566265861958
218|Samsung Linear Acceleration Sensor|[-0.01217255,-0.009182647,-0.3799801]|1566265861959
218|K6DS3TR Gyroscope|[0.008063419,0.0050335266,-0.04167323]|1566265861967
218|K6DS3TR Accelerometer|[0.33758244,-0.09935937,9.618706]|1566265861969
218|Samsung Linear Acceleration Sensor|[-0.006366402,0.0018765405,-0.1813879]|1566265861968
218|K6DS3TR Gyroscope|[0.016615532,0.011753045,-0.04350582]|1566265861976
218|K6DS3TR Accelerometer|[0.19991584,-0.46686932,9.411607]|1566265861978
218|Samsung Linear Acceleration Sensor|[-0.008092582,0.018878698,-0.38079643]|1566265861978
218|K6DS3TR Gyroscope|[0.020280723,-0.011459835,-0.042894956]|1566265861986
218|K6DS3TR Accelerometer|[0.33638534,0.14963761,9.279925]|1566265861989
218|Samsung Linear Acceleration Sensor|[-0.018814892,-0.008374602,-0.51901627]|1566265861989
218|K6DS3TR Gyroscope|[0.005619958,-4.6426058E-4,-0.0386189]|1566265861996
218|K6DS3TR Accelerometer|[0.46088383,-0.19273324,9.728839]|1566265861998
218|Samsung Linear Acceleration Sensor|[-0.0030733347,0.0012809485,-0.06490898]|1566265861998
218|K6DS3TR Gyroscope|[0.001954766,0.0050335266,-0.034342844]|1566265862006
218|K6DS3TR Accelerometer|[0.44771573,-0.19393034,9.607931]|1566265862008
218|Samsung Linear Acceleration Sensor|[-0.01581493,-2.669245E-4,-0.18584347]|1566265862009
218|K6DS3TR Gyroscope|[0.0062308237,-0.0016859919,-0.03617544]|1566265862017
218|K6DS3TR Accelerometer|[0.439336,-0.2681506,9.927557]|1566265862019
218|Samsung Linear Acceleration Sensor|[0.005928904,-0.0036300719,0.1340599]|1566265862019
218|K6DS3TR Gyroscope|[0.001954766,-0.0035185888,-0.034342844]|1566265862026
218|K6DS3TR Accelerometer|[0.29568392,0.11492168,9.489418]|1566265862028
218|Samsung Linear Acceleration Sensor|[-0.009715021,-0.0037731603,-0.3117571]|1566265862028
218|K6DS3TR Gyroscope|[-0.007819079,-0.0016859919,-0.036786303]|1566265862036
218|K6DS3TR Accelerometer|[0.37110126,-0.16519992,9.91439]|1566265862039
218|Samsung Linear Acceleration Sensor|[0.004342288,-0.0019407868,0.11596012]|1566265862039
218|K6DS3TR Gyroscope|[-0.007208213,0.009920448,-0.030066786]|1566265862047
218|K6DS3TR Accelerometer|[0.37828386,-0.24540567,9.5971575]|1566265862049
218|Samsung Linear Acceleration Sensor|[-0.007830203,0.0050749183,-0.1986866]|1566265862048
218|K6DS3TR Gyroscope|[0.0043982267,-0.0029077232,-0.03189938]|1566265862056
218|K6DS3TR Accelerometer|[0.37229836,-0.33279404,9.643845]|1566265862058
218|Samsung Linear Acceleration Sensor|[-0.0057761073,0.0051907003,-0.14968395]|1566265862058
218|K6DS3TR Gyroscope|[0.0025656316,0.006255258,-0.034342844]|1566265862067
218|K6DS3TR Accelerometer|[0.40701428,-0.04070143,9.680955]|1566265862069
218|Samsung Linear Acceleration Sensor|[-0.004916519,4.9627945E-4,-0.116952896]|1566265862069
218|K6DS3TR Gyroscope|[1.221709E-4,-0.0059620477,-0.035564575]|1566265862076
218|K6DS3TR Accelerometer|[0.35913026,-0.2837129,9.901221]|1566265862078
218|Samsung Linear Acceleration Sensor|[0.0038099885,-0.0030079186,0.10503101]|1566265862078
218|K6DS3TR Gyroscope|[0.01050688,-0.0016859919,-0.03617544]|1566265862086
218|K6DS3TR Accelerometer|[0.3172317,-0.25737667,9.775525]|1566265862089
218|Samsung Linear Acceleration Sensor|[-7.764399E-4,6.194711E-4,-0.022571564]|1566265862089
218|K6DS3TR Gyroscope|[-0.0029321574,-0.0047403164,-0.03128852]|1566265862097
218|K6DS3TR Accelerometer|[0.28491,-0.5386954,10.103531]|1566265862099
218|Samsung Linear Acceleration Sensor|[0.008876234,-0.01676017,0.31467056]|1566265862098
218|K6DS3TR Gyroscope|[0.0062308237,0.0013683364,-0.013573426]|1566265862106
218|K6DS3TR Accelerometer|[0.30406362,-0.6919243,10.012551]|1566265862108
218|Samsung Linear Acceleration Sensor|[0.007097751,-0.016151428,0.23371983]|1566265862108
218|K6DS3TR Gyroscope|[0.011728611,-0.010238105,-0.008686504]|1566265862117
218|K6DS3TR Accelerometer|[0.16400282,-0.32202014,9.892841]|1566265862119
218|Samsung Linear Acceleration Sensor|[0.0015422106,-0.0030313432,0.09272671]|1566265862119
218|K6DS3TR Gyroscope|[-0.007819079,0.0032009296,-0.011129965]|1566265862126
